strategy,tool,state,n,ev,evR,wr,pf,medR,aw,al,mfe,mae,ratio,ff25,stop,tmfe,reach,maxw,maxl,winMFE,winMFE95
A10_G4,RANGE,LOW,26,11.503076923076806,0.393871960786037,42.30769230769231,1.7627646008671125,-1.023149050185609,62.83454545454545,-26.140000000000196,2.9958748753430386,1.625856381948236,1.8426442265171865,60.0,57.69230769230769,36.5,"{0.25: 92.3076923076923, 0.5: 73.07692307692308, 1: 53.84615384615385, 1.5: 50.0, 2: 38.46153846153846, 3: 26.923076923076923, 4: 15.384615384615385, 5: 7.6923076923076925}",137.13,-42.06374999999854,5.243589743589744,nan
A10_G4,RANGE,MEDIUM,102,-0.33825980392162797,-0.051825690017914226,24.50980392156863,0.9875149380179676,-1.0230979219016414,109.16000000000007,-35.8896428571429,2.483680699626568,2.2075266836217997,1.1250965698641946,43.67816091954023,75.49019607843137,37.5,"{0.25: 56.86274509803921, 0.5: 46.07843137254902, 1: 37.254901960784316, 1.5: 31.372549019607842, 2: 21.568627450980394, 3: 10.784313725490197, 4: 5.882352941176471, 5: 2.9411764705882355}",567.38,-83.46375,4.482957827845176,10.066360387953036
A10_G4,RANGE,HIGH,90,5.019583333333371,0.1787535732110173,31.11111111111111,1.1728488470526157,-1.0149196388286121,109.47821428571436,-42.155282258064396,2.070897815901982,2.060767933771893,1.0049155860609438,43.20987654320987,63.333333333333336,30.0,"{0.25: 55.55555555555556, 0.5: 50.0, 1: 45.55555555555556, 1.5: 34.44444444444444, 2: 28.88888888888889, 3: 20.0, 4: 15.555555555555555, 5: 11.11111111111111}",442.88,-96.81374999999855,5.990531252142996,11.318407960199004
A10_G4,VOLUME,LOW,8,-1.7965625000002734,0.07617954272141822,25.0,0.8783357670412297,-1.051973808599777,51.879999999999995,-19.688750000000365,1.6658671881726383,2.4883295033488446,0.6694721040483909,28.571428571428573,75.0,28.0,"{0.25: 87.5, 0.5: 62.5, 1: 50.0, 1.5: 37.5, 2: 25.0, 3: 12.5, 4: 12.5, 5: 12.5}",90.88,-40.11375000000145,8.07384498184513,nan
A10_G4,VOLUME,MEDIUM,40,4.021718750000287,0.03862848414056097,32.5,1.2175162298426474,-1.0264618470839169,69.26461538461538,-27.39152777777735,2.723379670732774,2.1513856363204136,1.2658723869657609,60.0,67.5,41.5,"{0.25: 70.0, 0.5: 47.5, 1: 40.0, 1.5: 37.5, 2: 27.5, 3: 17.5, 4: 7.5, 5: 5.0}",137.13,-47.12624999999854,5.078125,nan
A10_G4,VOLUME,HIGH,170,3.3520220588234895,0.1111040969423968,28.823529411764707,1.1160217254259805,-1.0171952342944466,111.86469387755109,-40.59112603305791,2.1232981838683256,2.138747442673947,0.992776492213449,43.04635761589404,68.23529411764706,33.5,"{0.25: 57.05882352941177, 0.5: 51.1764705882353, 1: 42.94117647058823, 1.5: 34.11764705882353, 2: 26.470588235294116, 3: 16.470588235294116, 4: 11.764705882352942, 5: 7.0588235294117645}",567.38,-96.81374999999855,5.14660227664712,11.318407960199004
A1_OFH13,RANGE,LOW,12,6.471666666666543,0.3476686957049346,33.333333333333336,1.343461147229216,-1.0255015287360694,75.9425,-28.263750000000183,1.7511702694194111,2.37875953660348,0.7361695213295185,22.22222222222222,66.66666666666667,25.0,"{0.25: 41.666666666666664, 0.5: 41.666666666666664, 1: 33.333333333333336, 1.5: 25.0, 2: 25.0, 3: 25.0, 4: 25.0, 5: 16.666666666666668}",133.13,-39.21375,6.979138985330962,nan
A1_OFH13,RANGE,MEDIUM,67,13.886809701492467,0.2681327357575744,31.34328358208955,1.6027715084653913,-1.0199913830245586,117.8085714285715,-33.55573369565224,2.7557755775577557,2.0558659217877095,1.34044518582293,45.6140350877193,64.17910447761194,31,"{0.25: 64.17910447761194, 0.5: 56.71641791044776, 1: 47.76119402985075, 1.5: 40.298507462686565, 2: 31.34328358208955, 3: 23.880597014925375, 4: 11.940298507462687, 5: 5.970149253731344}",574.63,-67.995,5.219730941704036,8.297968397291196
A1_OFH13,RANGE,HIGH,53,23.560188679245275,0.5812666597452377,41.509433962264154,2.129351433972162,-1.0143298332303887,107.0163636363637,-35.666774193548406,2.6175213675213675,1.4273719563392109,1.8338046757164403,48.888888888888886,54.716981132075475,30,"{0.25: 67.9245283018868, 0.5: 60.37735849056604, 1: 52.83018867924528, 1.5: 43.39622641509434, 2: 35.84905660377358, 3: 15.09433962264151, 4: 15.09433962264151, 5: 7.547169811320755}",291.63,-67.0575,3.916176751929928,12.126111560226354
A1_OFH13,VOLUME,LOW,1,-16.451249999999273,-1.055836341756922,0.0,0.0,-1.055836341756922,nan,-16.451249999999273,1.4681107099879664,2.2382671480144407,0.6559139784946236,0.0,100.0,16,"{0.25: 0.0, 0.5: 0.0, 1: 0.0, 1.5: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",-16.451249999999273,-16.451249999999273,nan,nan
A1_OFH13,VOLUME,MEDIUM,18,3.700833333333007,0.20028879127566926,33.333333333333336,1.1834290198669835,-1.0258464425122704,71.63,-30.263750000000485,1.552482830605262,3.015935451336359,0.5147599660720052,42.857142857142854,66.66666666666667,30.5,"{0.25: 61.111111111111114, 0.5: 55.55555555555556, 1: 33.333333333333336, 1.5: 27.77777777777778, 2: 27.77777777777778, 3: 27.77777777777778, 4: 22.22222222222222, 5: 5.555555555555555}",119.13,-67.995,6.775543803431674,nan
A1_OFH13,VOLUME,HIGH,113,19.52745575221246,0.44597069654432897,36.283185840707965,1.8841520157949967,-1.0183326748320825,114.69097560975617,-34.66288194444441,2.6457925636007826,1.8645833333333333,1.4189725480763975,45.833333333333336,59.29203539823009,30,"{0.25: 64.60176991150442, 0.5: 57.52212389380531, 1: 51.32743362831859, 1.5: 42.47787610619469, 2: 33.6283185840708, 3: 19.469026548672566, 4: 13.274336283185841, 5: 7.964601769911504}",574.63,-67.0575,4.654487688641779,12.126111560226354
A2_OFH14,RANGE,LOW,114,-2.1375438596491247,-0.35612283930302435,12.280701754385966,0.7803695358269495,-1.094054054054054,61.84428571428571,-11.094999999999994,2.877020068185953,2.1865883281231477,1.3157575347781332,44.943820224719104,87.71929824561404,35.0,"{0.25: 65.78947368421052, 0.5: 54.3859649122807, 1: 40.35087719298246, 1.5: 29.82456140350877, 2: 23.68421052631579, 3: 16.666666666666668, 4: 13.157894736842104, 5: 10.526315789473685}",134.88,-34.87,6.002648318434119,nan
A2_OFH14,RANGE,MEDIUM,229,-0.7542794759825355,0.01828507474255252,11.790393013100436,0.9468603195210615,-1.06,113.99111111111118,-16.091534653465278,2.473716759431045,2.6718547341115437,0.925842534719095,45.876288659793815,88.20960698689956,29,"{0.25: 53.7117903930131, 0.5: 45.851528384279476, 1: 38.8646288209607, 1.5: 29.694323144104803, 2: 26.200873362445414, 3: 19.650655021834062, 4: 14.847161572052402, 5: 11.353711790393014}",574.63,-55.62,5.954974582425563,14.879089615931722
