timestampET,instrument,contract,timeframe,open,high,low,close,volume,bidVolume,askVolume,delta,deltaPercent,parentCandidate,parentEventId,parentDirection,parentAvailableTime,parentEntryTime,parentEntryPrice,parentATR,fvgLow,fvgHigh,structuralInvalidation,parentStillValid,engineVersion
2026-05-13 09:30:00,MNQ,,1m,29589,29590.5,29575.75,29583,4568,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:30:00,MNQ,,30s,29585.5,29590.5,29578.5,29583,2959,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:30:30,MNQ,,30s,29583,29585,29547,29557.75,11737,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:31:00,MNQ,,1m,29583,29585,29547,29557,16867,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:31:00,MNQ,,30s,29557.75,29572.25,29549,29557,5130,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:31:30,MNQ,,30s,29556.75,29564.5,29523.5,29526.5,7876,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:32:00,MNQ,,1m,29556.75,29564.5,29513.25,29516.25,14081,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:32:00,MNQ,,30s,29526.75,29532.25,29513.25,29516.25,6205,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:32:30,MNQ,,30s,29516.25,29551.75,29509.75,29546.5,7476,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:33:00,MNQ,,1m,29516.25,29553.25,29509.75,29534.75,11289,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:33:00,MNQ,,30s,29546.5,29553.25,29532,29534.75,3813,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:33:30,MNQ,,30s,29534.25,29558.5,29529.5,29547.5,4908,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:34:00,MNQ,,1m,29534.25,29562.25,29529.5,29559.75,8139,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:34:00,MNQ,,30s,29547,29562.25,29543.5,29559.75,3231,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:34:30,MNQ,,30s,29559.75,29561.5,29546,29548.25,3234,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:35:00,MNQ,,1m,29559.75,29561.5,29543.25,29553.5,5411,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:35:00,MNQ,,30s,29547.75,29558.75,29543.25,29553.5,2177,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:35:30,MNQ,,30s,29553.5,29557.5,29541.5,29546.75,3202,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:36:00,MNQ,,1m,29553.5,29557.5,29507,29510.75,9833,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:36:00,MNQ,,30s,29546,29546,29507,29510.75,6631,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:36:30,MNQ,,30s,29511,29524.75,29494.25,29497.75,8427,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:37:00,MNQ,,1m,29511,29524.75,29493.25,29501.25,13427,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:37:00,MNQ,,30s,29497.75,29518,29493.25,29501.25,5000,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:37:30,MNQ,,30s,29500.25,29520.25,29490.25,29518.5,5770,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:38:00,MNQ,,1m,29500.25,29520.25,29487.25,29487.5,9949,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:38:00,MNQ,,30s,29518,29518.25,29487.25,29487.5,4179,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:38:30,MNQ,,30s,29487.75,29493.5,29476,29479.5,6140,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:39:00,MNQ,,1m,29487.75,29494.25,29476,29485.5,10684,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:39:00,MNQ,,30s,29479.25,29494.25,29476.75,29485.5,4544,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:39:30,MNQ,,30s,29485.5,29507.25,29479.75,29496.5,4916,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:40:00,MNQ,,1m,29485.5,29507.25,29479.75,29499.5,8068,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:40:00,MNQ,,30s,29495.25,29501.25,29484.25,29499.5,3152,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:40:30,MNQ,,30s,29500.25,29509.25,29486.5,29502.5,5209,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:41:00,MNQ,,1m,29500.25,29528.5,29486.5,29523,10598,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:41:00,MNQ,,30s,29502.25,29528.5,29500.25,29523,5389,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:41:30,MNQ,,30s,29523,29549.75,29522.75,29544.75,6716,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:42:00,MNQ,,1m,29523,29553.25,29522.75,29549.75,10264,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:42:00,MNQ,,30s,29544.25,29553.25,29539.25,29549.75,3548,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:42:30,MNQ,,30s,29550.25,29558,29526,29527.75,6313,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:43:00,MNQ,,1m,29550.25,29569,29518.5,29532.25,15403,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:43:00,MNQ,,30s,29527.75,29569,29518.5,29532.25,9090,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:43:30,MNQ,,30s,29532.5,29538.75,29524.5,29532.5,2834,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:44:00,MNQ,,1m,29532.5,29538.75,29521.5,29533.5,5457,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:44:00,MNQ,,30s,29532,29536.75,29521.5,29533.5,2623,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:44:30,MNQ,,30s,29533.25,29539.5,29525.25,29536,1960,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:45:00,MNQ,,1m,29533.25,29539.5,29502.75,29506.75,6341,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:45:00,MNQ,,30s,29536,29538.75,29502.75,29506.75,4381,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:45:30,MNQ,,30s,29506.75,29511.25,29477.75,29479.5,7272,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:46:00,MNQ,,1m,29506.75,29511.25,29461.25,29464.25,14296,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:46:00,MNQ,,30s,29480,29484.5,29461.25,29464.25,7024,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:46:30,MNQ,,30s,29464.25,29468.75,29443.75,29454.5,7499,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:47:00,MNQ,,1m,29464.25,29468.75,29431.25,29441.75,14329,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:47:00,MNQ,,30s,29455.75,29467.5,29431.25,29441.75,6830,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:47:30,MNQ,,30s,29442.25,29443.75,29425,29430,5054,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:48:00,MNQ,,1m,29442.25,29443.75,29404.75,29405.25,10913,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:48:00,MNQ,,30s,29429.75,29436.75,29404.75,29405.25,5859,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2026-05-13 09:48:30,MNQ,,30s,29404.75,29412.25,29373.75,29375.25,10154,,,,,,,,,,,,,,,,GENUINE-PH2-30S
