timestampET,instrument,contract,timeframe,open,high,low,close,volume,bidVolume,askVolume,delta,deltaPercent,parentCandidate,parentEventId,parentDirection,parentAvailableTime,parentEntryTime,parentEntryPrice,parentATR,fvgLow,fvgHigh,structuralInvalidation,parentStillValid,engineVersion
2025-11-17 09:30:00,MNQ,,1m,25759.25,25767.5,25752.5,25761,3050,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:30:00,MNQ,,30s,25759,25766.25,25752.5,25761,1837,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:30:30,MNQ,,30s,25761,25763,25733.25,25736.5,7443,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:31:00,MNQ,,1m,25761,25763,25718.5,25731.5,12692,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:31:00,MNQ,,30s,25737,25738.25,25718.5,25731.5,5249,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:31:30,MNQ,,30s,25731.75,25759.25,25726,25746,5674,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:32:00,MNQ,,1m,25731.75,25780.75,25726,25775.5,10509,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:32:00,MNQ,,30s,25746.75,25780.75,25740.5,25775.5,4835,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:32:30,MNQ,,30s,25775.25,25830,25772,25816,9081,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:33:00,MNQ,,1m,25775.25,25834.75,25772,25831.75,13077,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:33:00,MNQ,,30s,25816.75,25834.75,25815.75,25831.75,3996,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:33:30,MNQ,,30s,25831.25,25843.25,25822.75,25833,4722,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:34:00,MNQ,,1m,25831.25,25846.5,25821.25,25823,8597,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:34:00,MNQ,,30s,25833.75,25846.5,25821.25,25823,3875,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:34:30,MNQ,,30s,25823,25857.5,25821.5,25855,5280,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:35:00,MNQ,,1m,25823,25861.75,25821.5,25857.5,9215,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:35:00,MNQ,,30s,25855,25861.75,25851,25857.5,3935,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:35:30,MNQ,,30s,25857.5,25867.5,25845.25,25851.5,4901,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:36:00,MNQ,,1m,25857.5,25871.75,25845,25869.25,8920,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:36:00,MNQ,,30s,25851.75,25871.75,25845,25869.25,4019,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:36:30,MNQ,,30s,25870,25891.5,25868.75,25882.75,5892,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:37:00,MNQ,,1m,25870,25897,25866.25,25892.25,10424,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:37:00,MNQ,,30s,25882.5,25897,25866.25,25892.25,4532,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:37:30,MNQ,,30s,25892,25921,25891.25,25920,5604,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:38:00,MNQ,,1m,25892,25941.25,25891.25,25927.25,11451,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:38:00,MNQ,,30s,25919.75,25941.25,25919,25927.25,5847,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:38:30,MNQ,,30s,25927.25,25930.5,25905,25909.25,5008,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:39:00,MNQ,,1m,25927.25,25930.5,25904,25920.5,8128,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:39:00,MNQ,,30s,25909.5,25924,25904,25920.5,3120,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:39:30,MNQ,,30s,25920.75,25929.25,25915.75,25924,2662,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:40:00,MNQ,,1m,25920.75,25936.25,25915.75,25934.25,5856,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:40:00,MNQ,,30s,25923.5,25936.25,25923.25,25934.25,3194,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:40:30,MNQ,,30s,25934.25,25939.75,25924,25937.5,3889,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:41:00,MNQ,,1m,25934.25,25947.75,25924,25934.25,8679,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:41:00,MNQ,,30s,25935.75,25947.75,25924.75,25934.25,4790,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:41:30,MNQ,,30s,25934.75,25948.75,25932.75,25942,2707,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:42:00,MNQ,,1m,25934.75,25948.75,25919.75,25930.75,6664,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:42:00,MNQ,,30s,25941.25,25943.75,25919.75,25930.75,3957,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:42:30,MNQ,,30s,25930.75,25933.25,25905.25,25911,5137,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:43:00,MNQ,,1m,25930.75,25933.25,25905.25,25926.25,8127,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:43:00,MNQ,,30s,25912,25929,25907.5,25926.25,2990,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:43:30,MNQ,,30s,25925.5,25958,25923,25956.5,5131,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:44:00,MNQ,,1m,25925.5,25962.5,25923,25955.25,10132,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:44:00,MNQ,,30s,25957,25962.5,25947.5,25955.25,5001,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:44:30,MNQ,,30s,25955.5,25955.75,25919,25928.5,4907,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:45:00,MNQ,,1m,25955.5,25955.75,25909.25,25922.75,8640,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:45:00,MNQ,,30s,25928.5,25933,25909.25,25922.75,3733,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:45:30,MNQ,,30s,25922.5,25945.75,25914.5,25940.75,4937,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:46:00,MNQ,,1m,25922.5,25953.25,25914.5,25952,8261,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:46:00,MNQ,,30s,25940.25,25953.25,25931,25952,3324,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:46:30,MNQ,,30s,25951.75,25965.25,25943.75,25955.75,4775,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:47:00,MNQ,,1m,25951.75,25965.5,25943.75,25963.25,7656,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:47:00,MNQ,,30s,25955.75,25965.5,25953.25,25963.25,2881,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:47:30,MNQ,,30s,25963.25,25979.5,25960.75,25968.75,4844,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:48:00,MNQ,,1m,25963.25,25985,25960.75,25984,8023,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:48:00,MNQ,,30s,25968.5,25985,25968.5,25984,3179,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:48:30,MNQ,,30s,25983.25,25984.75,25970.75,25978,3418,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:49:00,MNQ,,1m,25983.25,25984.75,25963.75,25970.75,6052,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:49:00,MNQ,,30s,25978,25979.5,25963.75,25970.75,2634,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:49:30,MNQ,,30s,25970,25991.25,25968.25,25989.25,3467,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:50:00,MNQ,,1m,25970,25991.25,25968.25,25981.75,6212,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:50:00,MNQ,,30s,25989,25989.75,25975.25,25981.75,2745,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:50:30,MNQ,,30s,25982,25998.75,25981.75,25995.5,4691,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:51:00,MNQ,,1m,25982,26002.5,25981.75,25998.5,7444,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:51:00,MNQ,,30s,25996.5,26002.5,25993.25,25998.5,2753,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:51:30,MNQ,,30s,25997.75,26004,25989,26003.5,3507,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:52:00,MNQ,,1m,25997.75,26014.75,25989,26012.5,7627,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:52:00,MNQ,,30s,26003.25,26014.75,26002.5,26012.5,4120,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:52:30,MNQ,,30s,26012.5,26016.25,26007.5,26013,2734,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:53:00,MNQ,,1m,26012.5,26016.25,25986.75,25999.75,7006,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:53:00,MNQ,,30s,26012.75,26013,25986.75,25999.75,4272,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:53:30,MNQ,,30s,26000.25,26003.75,25984.5,25986.25,2950,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:54:00,MNQ,,1m,26000.25,26003.75,25977.75,26000.25,6144,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:54:00,MNQ,,30s,25985.5,26001.5,25977.75,26000.25,3194,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:54:30,MNQ,,30s,25999.5,26011,25997.5,26007,2549,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:55:00,MNQ,,1m,25999.5,26011,25993.75,25999.75,5014,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:55:00,MNQ,,30s,26007.75,26009.25,25993.75,25999.75,2465,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:55:30,MNQ,,30s,26000.25,26012.5,25996.5,26007.25,2572,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:56:00,MNQ,,1m,26000.25,26018,25996.5,26002,5653,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:56:00,MNQ,,30s,26008.5,26018,25999.75,26002,3081,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:56:30,MNQ,,30s,26002.5,26006,25976.25,25979.75,4343,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:57:00,MNQ,,1m,26002.5,26006,25973.75,25989.75,7456,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:57:00,MNQ,,30s,25979.5,25991.5,25973.75,25989.75,3113,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:57:30,MNQ,,30s,25989.5,25998,25980,25982.5,2994,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:58:00,MNQ,,1m,25989.5,25998,25955.75,25966.5,7942,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:58:00,MNQ,,30s,25982.25,25984.25,25955.75,25966.5,4948,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:58:30,MNQ,,30s,25966.75,25983,25964.25,25975.5,2890,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:59:00,MNQ,,1m,25966.75,25983,25959,25971,5347,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:59:00,MNQ,,30s,25974.75,25978,25959,25971,2457,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 09:59:30,MNQ,,30s,25971.5,25973,25954.5,25965.25,2868,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:00:00,MNQ,,1m,25971.5,25973,25953.25,25963,5547,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:00:00,MNQ,,30s,25965.25,25972.75,25953.25,25963,2679,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:00:30,MNQ,,30s,25963,25979.25,25959.5,25965.25,5437,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:01:00,MNQ,,1m,25963,25979.25,25947,25962.25,10311,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:01:00,MNQ,,30s,25965,25965.75,25947,25962.25,4874,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:01:30,MNQ,,30s,25962.25,25969.25,25949,25953.25,3093,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:02:00,MNQ,,1m,25962.25,25969.25,25939.25,25953.75,7155,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:02:00,MNQ,,30s,25953.25,25955.5,25939.25,25953.75,4062,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:02:30,MNQ,,30s,25953.75,25964,25942.75,25946.5,3043,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:03:00,MNQ,,1m,25953.75,25964,25932.5,25937.75,6299,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:03:00,MNQ,,30s,25947,25950.25,25932.5,25937.75,3256,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:03:30,MNQ,,30s,25937.5,25951.75,25919.75,25921.25,4841,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:04:00,MNQ,,1m,25937.5,25951.75,25900,25905.75,11101,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:04:00,MNQ,,30s,25921.75,25922.75,25900,25905.75,6260,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:04:30,MNQ,,30s,25906.25,25906.5,25888.5,25891,5167,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:05:00,MNQ,,1m,25906.25,25906.5,25867.25,25881.75,11281,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:05:00,MNQ,,30s,25891,25891,25867.25,25881.75,6114,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:05:30,MNQ,,30s,25881.75,25906.5,25873.5,25906,5521,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:06:00,MNQ,,1m,25881.75,25915,25873.5,25907.25,10468,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:06:00,MNQ,,30s,25906.25,25915,25897,25907.25,4947,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:06:30,MNQ,,30s,25907.25,25922.25,25905.25,25919.25,3611,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:07:00,MNQ,,1m,25907.25,25922.25,25904.5,25915.25,6741,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:07:00,MNQ,,30s,25919.5,25920.25,25904.5,25915.25,3130,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:07:30,MNQ,,30s,25915,25915.75,25881.5,25885.5,5152,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:08:00,MNQ,,1m,25915,25915.75,25870.5,25879,9473,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:08:00,MNQ,,30s,25886,25889.25,25870.5,25879,4321,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-11-17 10:08:30,MNQ,,30s,25879.25,25881.25,25863.5,25863.5,4670,,,,,,,,,,,,,,,,GENUINE-PH2-30S
