timestampET,instrument,contract,timeframe,open,high,low,close,volume,bidVolume,askVolume,delta,deltaPercent,parentCandidate,parentEventId,parentDirection,parentAvailableTime,parentEntryTime,parentEntryPrice,parentATR,fvgLow,fvgHigh,structuralInvalidation,parentStillValid,engineVersion
2025-12-11 09:30:00,MNQ,,1m,26417,26417,26405.5,26407.5,2125,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:30:00,MNQ,,30s,26410.75,26412.75,26405.5,26407.5,1264,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:30:30,MNQ,,30s,26407.25,26413,26372.5,26381,8596,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:31:00,MNQ,,1m,26407.25,26413,26351.75,26356.25,14664,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:31:00,MNQ,,30s,26382,26386.25,26351.75,26356.25,6068,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:31:30,MNQ,,30s,26356,26368.75,26345.25,26347.75,6660,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:32:00,MNQ,,1m,26356,26370.25,26339.25,26370.25,12287,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:32:00,MNQ,,30s,26347.75,26370.25,26339.25,26370.25,5627,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:32:30,MNQ,,30s,26370.25,26382.25,26351,26354,6650,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:33:00,MNQ,,1m,26370.25,26382.25,26350.25,26367,10547,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:33:00,MNQ,,30s,26354.25,26375,26350.25,26367,3897,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:33:30,MNQ,,30s,26367,26376.25,26352.25,26358.25,3565,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:34:00,MNQ,,1m,26367,26376.25,26343.75,26345.25,7002,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:34:00,MNQ,,30s,26357,26359.5,26343.75,26345.25,3437,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:34:30,MNQ,,30s,26346,26367,26342,26355,3664,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:35:00,MNQ,,1m,26346,26367,26326.5,26336.75,9403,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:35:00,MNQ,,30s,26355.25,26356.5,26326.5,26336.75,5739,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:35:30,MNQ,,30s,26336.75,26353.25,26328,26351.5,4807,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:36:00,MNQ,,1m,26336.75,26372.5,26328,26371.5,9783,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:36:00,MNQ,,30s,26351,26372.5,26343.5,26371.5,4976,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:36:30,MNQ,,30s,26370.75,26374.25,26355,26361.75,3639,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:37:00,MNQ,,1m,26370.75,26374.25,26347.25,26355,6312,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:37:00,MNQ,,30s,26361,26362.75,26347.25,26355,2673,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:37:30,MNQ,,30s,26356.5,26367.25,26345.5,26357.5,3751,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:38:00,MNQ,,1m,26356.5,26367.25,26345.5,26361,6147,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:38:00,MNQ,,30s,26356.75,26365.75,26347,26361,2396,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:38:30,MNQ,,30s,26360.5,26393.25,26358,26371.5,7219,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:39:00,MNQ,,1m,26360.5,26393.25,26357.5,26367.5,10370,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:39:00,MNQ,,30s,26370.75,26376.75,26357.5,26367.5,3151,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:39:30,MNQ,,30s,26368.25,26384.25,26353.5,26357.75,3751,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:40:00,MNQ,,1m,26368.25,26384.25,26349,26349,5835,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:40:00,MNQ,,30s,26357,26359,26349,26349,2084,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:40:30,MNQ,,30s,26349.25,26357,26335.75,26342.75,5143,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:41:00,MNQ,,1m,26349.25,26357,26331.25,26350,9247,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:41:00,MNQ,,30s,26342.5,26354.5,26331.25,26350,4104,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:41:30,MNQ,,30s,26350,26350.25,26332.75,26341,3562,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:42:00,MNQ,,1m,26350,26352.75,26332.75,26339.5,5718,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:42:00,MNQ,,30s,26341.25,26352.75,26336.25,26339.5,2156,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:42:30,MNQ,,30s,26339.25,26347.25,26319,26345.5,6168,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:43:00,MNQ,,1m,26339.25,26364.75,26319,26363,11508,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:43:00,MNQ,,30s,26345.5,26364.75,26342.75,26363,5340,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:43:30,MNQ,,30s,26362,26368.25,26336.5,26351.25,4018,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:44:00,MNQ,,1m,26362,26368.25,26336.5,26343.25,5834,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:44:00,MNQ,,30s,26351.75,26353,26339.5,26343.25,1816,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:44:30,MNQ,,30s,26343.25,26358,26338,26354.25,2665,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:45:00,MNQ,,1m,26343.25,26358,26338,26350,4064,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:45:00,MNQ,,30s,26353.5,26357.5,26348.25,26350,1399,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:45:30,MNQ,,30s,26350.25,26354.5,26330.75,26335,3994,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:46:00,MNQ,,1m,26350.25,26354.5,26308.25,26319.25,11581,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:46:00,MNQ,,30s,26334.5,26337.25,26308.25,26319.25,7587,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:46:30,MNQ,,30s,26319,26330.25,26311.25,26323.5,4943,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:47:00,MNQ,,1m,26319,26330.25,26306,26309,8224,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:47:00,MNQ,,30s,26323.5,26329.25,26306,26309,3281,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:47:30,MNQ,,30s,26308.75,26313,26296.25,26303.75,6508,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:48:00,MNQ,,1m,26308.75,26313,26289.25,26294.5,10950,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:48:00,MNQ,,30s,26304.25,26306.75,26289.25,26294.5,4442,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:48:30,MNQ,,30s,26293.5,26293.75,26282.75,26289.75,4569,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:49:00,MNQ,,1m,26293.5,26293.75,26274.25,26275,8224,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:49:00,MNQ,,30s,26290.5,26293.5,26274.25,26275,3655,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:49:30,MNQ,,30s,26274.5,26276.75,26250.5,26253.25,7424,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:50:00,MNQ,,1m,26274.5,26276.75,26246.75,26250.25,13073,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:50:00,MNQ,,30s,26253,26266,26246.75,26250.25,5649,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-12-11 09:50:30,MNQ,,30s,26250.25,26252.5,26232.25,26239.25,7719,,,,,,,,,,,,,,,,GENUINE-PH2-30S
