timestampET,instrument,contract,timeframe,open,high,low,close,volume,bidVolume,askVolume,delta,deltaPercent,parentCandidate,parentEventId,parentDirection,parentAvailableTime,parentEntryTime,parentEntryPrice,parentATR,fvgLow,fvgHigh,structuralInvalidation,parentStillValid,engineVersion
2025-10-13 09:30:00,MNQ,,1m,25590.75,25598.75,25584,25588,3686,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:30:00,MNQ,,30s,25588.5,25594.5,25584,25588,1865,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:30:30,MNQ,,30s,25588,25595.75,25563.25,25579.75,7627,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:31:00,MNQ,,1m,25588,25601.25,25563.25,25584.25,12246,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:31:00,MNQ,,30s,25580.5,25601.25,25579.75,25584.25,4619,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:31:30,MNQ,,30s,25584,25600.75,25573.75,25597.75,4411,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:32:00,MNQ,,1m,25584,25606,25573.75,25598,8642,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:32:00,MNQ,,30s,25598,25606,25587,25598,4231,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:32:30,MNQ,,30s,25598,25605.75,25584.75,25590,4439,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:33:00,MNQ,,1m,25598,25605.75,25573.25,25575.75,8697,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:33:00,MNQ,,30s,25590.25,25595,25573.25,25575.75,4258,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:33:30,MNQ,,30s,25575,25582.75,25551,25558.5,5403,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:34:00,MNQ,,1m,25575,25582.75,25545.25,25549.25,8934,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:34:00,MNQ,,30s,25558.25,25559.25,25545.25,25549.25,3531,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:34:30,MNQ,,30s,25549,25566,25539.5,25543.25,4233,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:35:00,MNQ,,1m,25549,25566,25521.5,25522.75,8962,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:35:00,MNQ,,30s,25543.5,25545.75,25521.5,25522.75,4729,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:35:30,MNQ,,30s,25523,25538.25,25504,25509.5,6930,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:36:00,MNQ,,1m,25523,25538.25,25490.25,25493.25,12212,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:36:00,MNQ,,30s,25509.25,25517.75,25490.25,25493.25,5282,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:36:30,MNQ,,30s,25493.5,25505,25487.75,25504.75,5234,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:37:00,MNQ,,1m,25493.5,25511.75,25487.75,25502.25,9561,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:37:00,MNQ,,30s,25505,25511.75,25495,25502.25,4327,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:37:30,MNQ,,30s,25501.75,25521,25499.5,25517.5,4229,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:38:00,MNQ,,1m,25501.75,25522.75,25499.5,25518.75,7719,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:38:00,MNQ,,30s,25517.5,25522.75,25507.25,25518.75,3490,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:38:30,MNQ,,30s,25518.25,25527.25,25501.75,25506.25,4101,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:39:00,MNQ,,1m,25518.25,25537,25500,25525.5,8797,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:39:00,MNQ,,30s,25506,25537,25500,25525.5,4696,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:39:30,MNQ,,30s,25525.75,25533.25,25508.75,25512,3621,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:40:00,MNQ,,1m,25525.75,25533.25,25508.75,25522.25,6084,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:40:00,MNQ,,30s,25512.25,25523.75,25509.25,25522.25,2463,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:40:30,MNQ,,30s,25521.5,25527.5,25501.25,25502.5,4664,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:41:00,MNQ,,1m,25521.5,25531,25501.25,25527.75,8820,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:41:00,MNQ,,30s,25502.75,25531,25502.75,25527.75,4156,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:41:30,MNQ,,30s,25528,25538.5,25516.75,25517.5,4754,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:42:00,MNQ,,1m,25528,25538.5,25494,25494.25,8942,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:42:00,MNQ,,30s,25517.75,25518.25,25494,25494.25,4188,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:42:30,MNQ,,30s,25494.25,25520.25,25493.5,25518.25,3905,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:43:00,MNQ,,1m,25494.25,25545.25,25493.5,25544.5,7819,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:43:00,MNQ,,30s,25519,25545.25,25515.75,25544.5,3914,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:43:30,MNQ,,30s,25544,25576.75,25543.25,25572.75,6672,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:44:00,MNQ,,1m,25544,25577,25543.25,25574.5,9606,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:44:00,MNQ,,30s,25573.25,25577,25566.5,25574.5,2934,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:44:30,MNQ,,30s,25574.25,25578.75,25560.25,25566.5,4033,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:45:00,MNQ,,1m,25574.25,25578.75,25560.25,25575,6801,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:45:00,MNQ,,30s,25566.75,25576.75,25560.25,25575,2768,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:45:30,MNQ,,30s,25575.25,25581.75,25532.25,25545.25,8964,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:46:00,MNQ,,1m,25575.25,25581.75,25532.25,25546.5,12533,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:46:00,MNQ,,30s,25544.5,25551.5,25539.75,25546.5,3569,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:46:30,MNQ,,30s,25546.75,25559.25,25535.5,25558.75,3984,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:47:00,MNQ,,1m,25546.75,25568.75,25535.5,25566.75,6735,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:47:00,MNQ,,30s,25558.5,25568.75,25553.25,25566.75,2751,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:47:30,MNQ,,30s,25567.75,25575.5,25557.75,25570,3853,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:48:00,MNQ,,1m,25567.75,25593,25557.75,25591,8132,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:48:00,MNQ,,30s,25570,25593,25569.25,25591,4279,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:48:30,MNQ,,30s,25591,25592.75,25566.75,25570.25,3648,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:49:00,MNQ,,1m,25591,25592.75,25566.75,25574,5790,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:49:00,MNQ,,30s,25570.25,25583.25,25569.5,25574,2142,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:49:30,MNQ,,30s,25573.75,25584.5,25571.5,25583.25,2737,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:50:00,MNQ,,1m,25573.75,25592,25571.5,25590.5,5461,,,,,,,,,,,,,,,,GENUINE-PH2-30S
2025-10-13 09:50:00,MNQ,,30s,25583.25,25592,25573.25,25590.5,2724,,,,,,,,,,,,,,,,GENUINE-PH2-30S
