cand,n,days,gross,base,stressed,gross_R,base_R,stressed_R,win_base,pf_base,pf_stressed,payoff_stressed,ci_lo,ci_hi,perm_p,bh_q,gate_fails
C-F12-1,256,256,-1.3191,-2.1891,-2.6241,-0.0152,-0.0765,-0.1071,0.0898,0.8632,0.8399,8.5089,-8.8155,4.2493,0.6584,0.9449,G05 not positive after costs; G06 base PF<1.30; G07 stressed PF<1.15; G08 base EV<0.10R; G09 stressed EV<0.05R; G10 CI lower bound<=0; G11 perm p>0.05; G12 BH q>0.05; G16 <3/4 quarters positive; G-profile no trade-quality profile met
C-F12-1b,256,256,-2.8705,-3.7405,-4.1755,-0.0829,-0.1441,-0.1748,0.0742,0.7720,0.7516,9.3753,-10.7321,3.1652,0.7870,0.9449,G05 not positive after costs; G06 base PF<1.30; G07 stressed PF<1.15; G08 base EV<0.10R; G09 stressed EV<0.05R; G10 CI lower bound<=0; G11 perm p>0.05; G12 BH q>0.05; G16 <3/4 quarters positive; G-profile no trade-quality profile met
C-F12-2,256,256,-0.0430,-0.9130,-1.3480,0.1600,0.0987,0.0681,0.1055,0.9423,0.9168,7.7760,-7.4872,5.4116,0.5112,0.9449,G05 not positive after costs; G06 base PF<1.30; G07 stressed PF<1.15; G08 base EV<0.10R; G10 CI lower bound<=0; G11 perm p>0.05; G12 BH q>0.05; G13 retention<50% vs price twin; G16 <3/4 quarters positive; G-profile no trade-quality profile met
C-F08-1,2061,253,-0.9176,-1.7876,-2.2226,-0.0484,-0.0938,-0.1165,0.3789,0.8802,0.8538,1.4196,-3.8871,-0.5351,0.8541,0.9449,G05 not positive after costs; G06 base PF<1.30; G07 stressed PF<1.15; G08 base EV<0.10R; G09 stressed EV<0.05R; G10 CI lower bound<=0; G11 perm p>0.05; G12 BH q>0.05; G16 <3/4 quarters positive; G-profile no trade-quality profile met
C-F08-2,1246,252,-2.0859,-2.9559,-3.3909,-0.0956,-0.1411,-0.1638,0.3042,0.8328,0.8115,1.8704,-5.8954,-0.8189,0.9449,0.9449,G05 not positive after costs; G06 base PF<1.30; G07 stressed PF<1.15; G08 base EV<0.10R; G09 stressed EV<0.05R; G10 CI lower bound<=0; G11 perm p>0.05; G12 BH q>0.05; G16 <3/4 quarters positive; G-profile no trade-quality profile met
